UTR,RRN,Amount,Currency,Settlement_Date,Bank_Name,Merchant_Ref,Status
KOTAK202606045799657,909927318564,4823791,INR,2026-06-01T11:47:35.648Z,KOTAK,ORD-55FDE3FDFA39,SETTLED
KOTAK202606049728635,224990733774,333932,INR,2026-05-31T02:47:35.648Z,KOTAK,ORD-DDCBBCC0E77B,SETTLED
KOTAK202606045322504,143274810418,4361056,INR,2026-06-03T07:47:35.648Z,KOTAK,ORD-69C473479ABF,SETTLED
KOTAK202606041321995,619596528625,4664496,INR,2026-06-02T00:47:35.648Z,KOTAK,ORD-39BF42CCC8B5,SETTLED
KOTAK202606044398905,602505200479,2583927,INR,2026-05-30T22:47:35.648Z,KOTAK,ORD-484607904FB1,SETTLED
KOTAK202606047514873,313156037338,433461,INR,2026-05-31T21:47:35.648Z,KOTAK,ORD-F91C2070B031,SETTLED
KOTAK202606044831359,311562874807,824261,INR,2026-05-30T05:47:35.648Z,KOTAK,ORD-54B68494D16D,SETTLED
KOTAK202606042141278,917017251978,2717504,INR,2026-06-04T05:47:35.648Z,KOTAK,ORD-974F4CBB7AE9,SETTLED
KOTAK202606040485677,986848446502,4873434,INR,2026-05-29T19:47:35.648Z,KOTAK,ORD-D84A93DB41E8,SETTLED
KOTAK202606046642673,133680750484,3398157,INR,2026-05-31T09:47:35.648Z,KOTAK,ORD-B49879ABFE14,SETTLED
KOTAK202606049537813,799080180324,1001112,INR,2026-05-29T10:47:35.648Z,KOTAK,ORD-77F2D62CDFEB,SETTLED
KOTAK202606046805287,379166368721,3912390,INR,2026-06-04T08:47:35.649Z,KOTAK,ORD-CA7181E7E893,SETTLED
KOTAK202606043087693,940554730437,3758876,INR,2026-05-30T19:47:35.649Z,KOTAK,ORD-FBA5A8D8EFF3,SETTLED
KOTAK202606042461156,610961077880,1067324,INR,2026-05-31T03:47:35.649Z,KOTAK,ORD-A761B2DF2393,PENDING
KOTAK202606049875448,044507741448,4059350,INR,2026-06-01T01:47:35.649Z,KOTAK,ORD-89AC9992408E,SETTLED
KOTAK202606046649099,209713579937,1895095,INR,2026-06-04T07:47:35.649Z,KOTAK,ORD-80B9B8A6F0D3,SETTLED
KOTAK202606044781897,344473363373,458284,INR,2026-05-30T01:47:35.649Z,KOTAK,ORD-5F5BDDDC656D,SETTLED
KOTAK202606043199933,381494654444,2738018,INR,2026-06-02T21:47:35.649Z,KOTAK,ORD-AE7BFABA14F4,SETTLED
KOTAK202606043987135,300695301262,3382083,INR,2026-06-03T20:47:35.649Z,KOTAK,ORD-FAC13537E7A2,SETTLED
KOTAK202606046203093,106400985012,1756667,INR,2026-06-03T14:47:35.649Z,KOTAK,ORD-DE1463D87A7F,SETTLED
KOTAK202606048047219,306650964738,3093585,INR,2026-06-04T11:47:35.649Z,KOTAK,ORD-9AF53D04C886,SETTLED
KOTAK202606040635115,654546415258,1826534,INR,2026-05-29T03:47:35.649Z,KOTAK,ORD-C94583213848,SETTLED
KOTAK202606041566905,705649968237,3816878,INR,2026-06-02T09:47:35.649Z,KOTAK,ORD-A641AB5AD101,SETTLED
KOTAK202606040424548,082350614743,2414276,INR,2026-05-30T09:47:35.649Z,KOTAK,ORD-BB214901D821,SETTLED
KOTAK202606046563394,589263334194,3021485,INR,2026-05-28T18:47:35.649Z,KOTAK,ORD-18385080965E,SETTLED
KOTAK202606044249244,322689997430,1372860,INR,2026-06-01T12:47:35.649Z,KOTAK,ORD-1DC4421033AD,SETTLED
KOTAK202606048544898,053572411874,1347950,INR,2026-06-02T22:47:35.649Z,KOTAK,ORD-20DC3D11701F,SETTLED
KOTAK202606046550448,107734434284,2016080,INR,2026-06-02T18:47:35.649Z,KOTAK,ORD-0FD8A8CC5E54,SETTLED
KOTAK202606049575468,202941044206,4305606,INR,2026-06-02T14:47:35.649Z,KOTAK,ORD-0CEC32FC68DC,SETTLED
KOTAK202606049272844,114057425532,1634222,INR,2026-05-30T13:47:35.649Z,KOTAK,ORD-DA469BB7ADB2,SETTLED
KOTAK202606047080885,897725934141,2181947,INR,2026-05-30T03:47:35.649Z,KOTAK,ORD-2896C7098502,SETTLED
KOTAK202606045247653,230852619494,4010985,INR,2026-05-30T16:47:35.649Z,KOTAK,ORD-5D90CC99A807,SETTLED
KOTAK202606041237047,664313808853,913282,INR,2026-06-04T01:47:35.649Z,KOTAK,ORD-A2D19AF66412,SETTLED
KOTAK202606044102893,677423269945,3622678,INR,2026-05-30T20:47:35.649Z,KOTAK,ORD-EE74979EEC96,SETTLED
KOTAK202606044325520,371920426232,3661318,INR,2026-05-30T14:47:35.649Z,KOTAK,ORD-9EBFC6E14981,SETTLED
KOTAK202606049408700,647815272989,4909834,INR,2026-06-02T15:47:35.649Z,KOTAK,ORD-C1318170DE3C,SETTLED
KOTAK202606040477394,390767115479,3451058,INR,2026-06-04T08:47:35.649Z,KOTAK,ORD-B35EBF937B4A,SETTLED
KOTAK202606041914532,950126983866,459695,INR,2026-05-31T00:47:35.649Z,KOTAK,ORD-C049796A1370,SETTLED
KOTAK202606049387652,971591208876,4299872,INR,2026-06-02T04:47:35.649Z,KOTAK,ORD-BE28FF8D1F3F,SETTLED
KOTAK202606040728703,852700783732,3509136,INR,2026-05-29T14:47:35.649Z,KOTAK,ORD-91367819CEA9,SETTLED
KOTAK202606049885089,275345623090,141768,INR,2026-05-30T14:47:35.649Z,KOTAK,ORD-F80409C75D87,SETTLED
KOTAK202606049802345,317470371484,1682616,INR,2026-06-02T02:47:35.649Z,KOTAK,ORD-86D2448A183D,SETTLED
KOTAK202606045015751,079256261097,2386657,INR,2026-05-31T12:47:35.649Z,KOTAK,ORD-4CED0916C09F,SETTLED
KOTAK202606040175803,263707105661,2701813,INR,2026-06-01T12:47:35.649Z,KOTAK,ORD-BC1DF6EFECC0,SETTLED
KOTAK202606045128143,764577858206,1375243,INR,2026-05-31T23:47:35.649Z,KOTAK,ORD-B0D05C314EA1,SETTLED
KOTAK202606047492124,077074420689,1787719,INR,2026-06-03T21:47:35.649Z,KOTAK,ORD-961AC18CD0E0,SETTLED
KOTAK202606045213307,207084189250,2699266,INR,2026-05-31T12:47:35.649Z,KOTAK,ORD-33425E264EDD,SETTLED
KOTAK202606048844123,999962183383,4127067,INR,2026-06-03T07:47:35.649Z,KOTAK,ORD-002F6B135B3C,SETTLED
KOTAK202606049751180,553257443832,2518424,INR,2026-06-01T08:47:35.649Z,KOTAK,ORD-9180912D3981,SETTLED
KOTAK202606042571144,723681252206,161362,INR,2026-06-03T21:47:35.649Z,KOTAK,ORD-71661B723E7F,SETTLED
KOTAK202606049381668,468282590305,257776,INR,2026-06-01T11:47:35.649Z,KOTAK,ORD-CB412A3C5ABF,SETTLED
KOTAK202606044895879,514722375061,1448062,INR,2026-06-01T16:47:35.649Z,KOTAK,ORD-C172E408EF0C,SETTLED
KOTAK202606046405508,415032581824,187535,INR,2026-06-02T03:47:35.649Z,KOTAK,ORD-4D012EA3254B,SETTLED
KOTAK202606042717683,903310266387,1125851,INR,2026-05-30T23:47:35.649Z,KOTAK,ORD-30E1E9D9097E,SETTLED
KOTAK202606043049946,578974201860,2690679,INR,2026-06-04T03:47:35.649Z,KOTAK,ORD-D67A4DC3BFE2,SETTLED
KOTAK202606044812443,221057179796,683958,INR,2026-06-03T07:47:35.649Z,KOTAK,ORD-CAFB2BEC4F99,SETTLED
KOTAK202606043792778,899760964247,4312921,INR,2026-06-02T01:47:35.649Z,KOTAK,ORD-0110EE8307C8,SETTLED
KOTAK202606046811788,061862298050,3896581,INR,2026-06-03T21:47:35.649Z,KOTAK,ORD-5C563FB98216,SETTLED
KOTAK202606041621828,793860739710,2826212,INR,2026-05-30T09:47:35.649Z,KOTAK,ORD-082E2F053D60,SETTLED
KOTAK202606041717706,412077315250,114957,INR,2026-06-03T02:47:35.649Z,KOTAK,ORD-53964A6A5269,SETTLED
KOTAK202606043484720,513397867306,227306,INR,2026-05-31T06:47:35.649Z,KOTAK,ORD-D85C65667D80,SETTLED
KOTAK202606048410574,740770495982,170369,INR,2026-05-31T00:47:35.649Z,KOTAK,ORD-30ED98C35DBE,PENDING
KOTAK202606041573242,561605533579,2049762,INR,2026-06-01T13:47:35.649Z,KOTAK,ORD-5CC791F383C1,SETTLED
KOTAK202606044952175,348720004199,2924548,INR,2026-06-04T11:47:35.649Z,KOTAK,ORD-3D886BF0F763,SETTLED
KOTAK202606043712917,815539001666,3431684,INR,2026-06-01T04:47:35.649Z,KOTAK,ORD-42B64B461E0C,SETTLED
KOTAK202606047186459,009216345551,1996847,INR,2026-06-03T23:47:35.649Z,KOTAK,ORD-06DB8A336B00,SETTLED
KOTAK202606049178632,712577331677,2869690,INR,2026-06-03T00:47:35.649Z,KOTAK,ORD-956E8E70FFAC,PENDING
KOTAK202606041644131,768917787501,4978465,INR,2026-06-02T16:47:35.649Z,KOTAK,ORD-ADF890B39FA8,SETTLED
KOTAK202606043766047,139802044880,1789204,INR,2026-06-02T20:47:35.649Z,KOTAK,ORD-DE8ECE0D4B42,SETTLED
KOTAK202606048135315,462716053624,2432844,INR,2026-05-29T15:47:35.649Z,KOTAK,ORD-A2781542CF19,SETTLED
KOTAK202606046970408,903835072225,3767501,INR,2026-06-01T06:47:35.649Z,KOTAK,ORD-899ABCE28E39,SETTLED
KOTAK202606043778519,550103617163,666247,INR,2026-05-28T21:47:35.649Z,KOTAK,ORD-0762F05ABC32,SETTLED
KOTAK202606048863433,552835885144,3715477,INR,2026-06-01T21:47:35.649Z,KOTAK,ORD-C58CA0E173FF,SETTLED
KOTAK202606047546859,425076752695,108405,INR,2026-05-30T09:47:35.649Z,KOTAK,ORD-B8E9C3D522BF,SETTLED
KOTAK202606041219414,124774373404,1933631,INR,2026-06-02T08:47:35.649Z,KOTAK,ORD-CB26F3510D74,SETTLED
KOTAK202606044759616,785335815138,965595,INR,2026-05-31T15:47:35.649Z,KOTAK,ORD-76D85954ABD7,SETTLED
KOTAK202606045063696,073012837364,67451,INR,2026-05-31T20:47:35.649Z,KOTAK,ORD-FC341D7BCD25,SETTLED
KOTAK202606046485789,188360317567,1423809,INR,2026-05-30T10:47:35.649Z,KOTAK,ORD-A343EDABF079,SETTLED
KOTAK202606041249819,666149666239,1475791,INR,2026-06-01T07:47:35.649Z,KOTAK,ORD-2E1288426ED0,SETTLED
KOTAK202606043924055,782033653527,4788452,INR,2026-05-30T13:47:35.649Z,KOTAK,ORD-A05338D82F13,SETTLED
KOTAK202606046711432,861317056767,4157038,INR,2026-06-03T12:47:35.649Z,KOTAK,ORD-B5C9F5DD9154,SETTLED
