UTR,RRN,Amount,Currency,Settlement_Date,Bank_Name,Merchant_Ref,Status
HDFC202606043400346,360659994791,82000,INR,2026-06-04T18:22:00.049Z,HDFC,ORD-DEMO-6A8A738ACE29FD1F8A587FA8,SETTLED
HDFC202606042966232,388529712706,89311,INR,2026-06-04T18:22:00.161Z,HDFC,ORD-DEMO-84053B104891994997A0E585,SETTLED
HDFC202606046001855,013411757415,96622,INR,2026-06-04T18:22:00.250Z,HDFC,ORD-DEMO-B08075C892A28A4CD0FA90AD,SETTLED
HDFC202606049061739,306493838731,103933,INR,2026-06-04T18:22:00.364Z,HDFC,ORD-DEMO-812B43715D147C9B536ACA4C,SETTLED
HDFC202606047702673,438132403154,111244,INR,2026-06-04T18:22:00.510Z,HDFC,ORD-DEMO-D540D263CFA12B9AA90D88AB,SETTLED
HDFC202606047053632,544957793888,118555,INR,2026-06-04T18:22:00.669Z,HDFC,ORD-DEMO-680E1C85DBD8C6FFC5E8D8D9,SETTLED
HDFC202606046303738,327140387782,125866,INR,2026-06-04T18:22:00.814Z,HDFC,ORD-DEMO-91E200FC24CBEC16C3C1AA23,SETTLED
HDFC202606045084637,302025629564,133177,INR,2026-06-04T18:22:00.926Z,HDFC,ORD-DEMO-3060AC8606A77197EEAFC666,SETTLED
ICICI202606047332119,820630536882,124000,INR,2026-06-04T17:22:01.013Z,ICICI,ORD-DEMO-B3305325DA64786AAFC3563E,SETTLED
ICICI202606042071682,080444330137,131311,INR,2026-06-04T17:11:01.102Z,ICICI,ORD-DEMO-921162A006AE5DD9435626F5,SETTLED
ICICI202606042178945,546997032753,138622,INR,2026-06-04T17:00:01.187Z,ICICI,ORD-DEMO-AE0600D7B5602D8CA2BAF13D,SETTLED
ICICI202606044539301,442296568786,145933,INR,2026-06-04T16:49:01.273Z,ICICI,ORD-DEMO-FD9F6EC64019C7433B550869,SETTLED
AXIS202606042366004,707178827669,158800,INR,2026-06-04T18:22:01.355Z,AXIS,ORD-DEMO-E5F5F065D26B18E26D6B7BF4,SETTLED
AXIS202606049564447,589881281750,166036,INR,2026-06-04T18:11:01.438Z,AXIS,ORD-DEMO-C4DD7D7BE1316AB184518AE8,SETTLED
AXIS202606043840820,601922325452,173272,INR,2026-06-04T18:00:01.523Z,AXIS,ORD-DEMO-D0614A8A23381465E58A3770,SETTLED
AXIS202606043511289,575247325335,180508,INR,2026-06-04T17:49:01.609Z,AXIS,ORD-DEMO-A669B715D3BF1AAB8E4F67A5,SETTLED
SBI202606044732104,282344655193,54000,INR,2026-06-04T18:22:01.609Z,SBI,BANK-ONLY-12D2393F021F,SETTLED
SBI202606046174866,189771998092,61311,INR,2026-06-04T18:22:01.609Z,SBI,BANK-ONLY-9E4BAA7E90B1,SETTLED
SBI202606040170368,708088935143,68622,INR,2026-06-04T18:22:01.609Z,SBI,BANK-ONLY-B80D80C7DD05,SETTLED
SBI202606045249269,789278742469,75933,INR,2026-06-04T18:22:01.609Z,SBI,BANK-ONLY-EFE7BE03C357,SETTLED
KOTAK202606043504455,756237158371,2857398,INR,2026-06-04T18:22:01.944Z,ICICI,NOISE-7231F9489AAC80B8,SETTLED
KOTAK202606040269277,404122181357,4551348,INR,2026-06-04T18:22:01.944Z,HDFC,NOISE-4D35FEC48F2B24F7,SETTLED
KOTAK202606044630275,364737643057,1698485,INR,2026-06-04T18:22:01.944Z,HDFC,NOISE-6CFE1634B8A4B962,SETTLED
KOTAK202606042244511,127689381106,2651868,INR,2026-06-04T18:22:01.944Z,SBI,NOISE-FDD9C1D8615DC022,SETTLED
AXIS202606045574112,441673413368,1161199,INR,2026-06-04T18:22:01.944Z,SBI,NOISE-6B790AF6D6B34BF1,SETTLED
KOTAK202606045214021,076558181068,2226213,INR,2026-06-04T18:22:01.944Z,KOTAK,NOISE-552B3B82A1D26C1D,SETTLED
HDFC202606041740667,714575566360,2642713,INR,2026-06-04T18:22:01.944Z,ICICI,NOISE-98DAEF541C2CB7A7,SETTLED
HDFC202606047840720,669007587653,4257692,INR,2026-06-04T18:22:01.944Z,HDFC,NOISE-E1F7FF45949DF670,SETTLED
KOTAK202606048520720,777518347712,2006648,INR,2026-06-04T18:22:01.944Z,HDFC,NOISE-C0BF3BE976EED674,SETTLED
SBI202606046991765,795349032204,1121239,INR,2026-06-04T18:22:01.944Z,AXIS,NOISE-E975540E0790018A,SETTLED
HDFC202606049847133,338424450193,2003795,INR,2026-06-04T18:22:01.944Z,ICICI,NOISE-498249168862C9DB,SETTLED
HDFC202606045090997,070958412255,4233629,INR,2026-06-04T18:22:01.944Z,SBI,NOISE-7378C1156DB691A8,SETTLED
AXIS202606043074242,443771843435,4754822,INR,2026-06-04T18:22:01.944Z,SBI,NOISE-F70AA3CEA3F6654A,SETTLED
HDFC202606046341237,578233131114,1269961,INR,2026-06-04T18:22:01.944Z,AXIS,NOISE-61C885C8041FE95B,SETTLED
SBI202606047259905,056499814870,1392947,INR,2026-06-04T18:22:01.944Z,SBI,NOISE-6D691E1BF8F1B6A3,SETTLED
AXIS202606047766649,094159421522,3757554,INR,2026-06-04T18:22:01.944Z,AXIS,NOISE-C439A6AFE87D4406,SETTLED
